code,Ethnicity,Grouping_16,Grouping_6,Label_16,Label_6
10292001,Guamians,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
108342005,South Asian AND/OR Australian aborigine,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
113170005,Aymara,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
113171009,Coushatta,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
13233008,Flathead,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
154182006,Other ethnic non-mixed (NMO),16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
154183001,Brit. ethnic minor. spec.(NMO),16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
154184007,Brit. ethnic minor. unsp (NMO),16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
154186009,N African Arab &/or Iranian (NMO),16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
154195001,Other ethnic NEC (NMO),16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
154203007,Vietnamese,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
154209006,Other ethnic group,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
154212009,New Zealand ethnic groups,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
154215006,New Zealand Maori,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
154216007,Samoan,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
154217003,Cook Island Maori,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
154218008,Tongan,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
154219000,Niuean,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
154220006,Tokelauan,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
154221005,Fijian,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
154222003,Other Pacific ethnic group,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
154227009,Other New Zealand ethnic group,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
154229007,New Zealand ethnic group NOS,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
15801006,Kapingas,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
17789004,Papuans,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
18575005,Oceanian,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
186005001,Other ethnic non-mixed (NMO),16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
186006000,British ethnic minority specified (NMO),16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
186007009,British ethnic minority unspecified (NMO),16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
186009007,N African Arab &/or Iranian (NMO),16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
186018009,Other ethnic NEC (NMO),16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
186026001,Vietnamese,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
186032006,Other ethnic group,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
186035008,New Zealand ethnic groups,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
186037000,Other European in New Zealand,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
186039002,New Zealand Maori,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
186040000,Cook Island Maori,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
186041001,Niuean,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
186042008,Tokelauan,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
186043003,Other Pacific ethnic group,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
186047002,Other New Zealand ethnic group,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
186048007,New Zealand ethnic group NOS,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
18664001,Xavante,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
19085009,Saipanese,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
20140003,Hawaiians,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
